,0,1,2,3,4,5,6,7,8
0,,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021,Casos COVID-19 en Chile 11 de marzo de 2021
1,,Casos confirmados acumulados,Casos nuevos  totales,Casos  nuevos con síntomas,Casos nuevos sin síntomas,Casos nuevos sin notificar  *,Casos activos confirmados  **,Fallecidos totales  ***,Casos confirmados recuperados *  ***
2,Arica y Parinacota,15.833,104,41,61,2,493,314,15.016
3,Tarapacá,25.826,132,78,50,4,695,464,24.666
4,Antofagasta,39.619,218,137,68,13,1.189,803,37.592
5,Atacama,12.738,57,46,11,0,467,159,12.115
6,Coquimbo,22.987,192,142,37,13,1.215,436,21.329
7,Valparaíso,54.166,519,340,97,82,2.502,1.682,49.958
8,RM,378.657,1.757,1.187,356,214,8.903,12.229,357.215
9,O’Higgins,32.555,201,157,39,5,1.419,807,30.333
10,Maule,46.164,395,269,122,4,2.051,896,43.216
11,Ñuble,18.159,105,81,23,1,737,345,17.081
12,Biobío,79.742,812,652,145,15,4.332,1.364,74.081
13,Araucanía,44.438,413,338,63,12,2.209,565,41.660
14,Los Ríos,22.064,266,168,95,3,1.691,253,20.128
15,Los Lagos,54.923,335,228,103,4,12.097,691,52.129
16,Aysén,3.219,14,11,3,0,95,25,3.101
17,Magallanes,22.371,46,37,9,0,333,328,21.699
18,Desconocida,51,0,0,0,0,0,1,51
19,Total,873.512,5.566,3.912,1.282,372,30.428,21.362,821.294
