state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death
Andaman and Nicobar Islands,6,5035,4967,62,5,5036,4969,62
Andhra Pradesh,1694,892522,883642,7186,1795,892740,883759,7186
Arunachal Pradesh,2,16841,16783,56,3,16842,16783,56
Assam,1627,217872,215146,1099,1645,217905,215160,1100
Bihar,364,263158,261240,1554,406,263265,261304,1555
Chandigarh,1330,23592,21903,359,1466,23803,21978,359
Chhattisgarh,5299,319717,310503,3915,6025,320783,310838,3920
Dadra and Nagar Haveli and Daman and Diu,26,3445,3417,2,30,3454,3422,2
Delhi,2702,645025,631375,10948,2927,645632,631756,10949
Goa,805,56173,54556,812,861,56271,54597,813
Gujarat,5310,281173,271433,4430,5684,282449,272332,4433
Haryana,3740,276635,269812,3083,3957,277268,270222,3089
Himachal Pradesh,935,60036,58090,1011,1043,60207,58151,1013
Jammu and Kashmir,1008,127957,124972,1977,1073,128097,125046,1978
Jharkhand,599,120853,119160,1094,624,120950,119232,1094
Karnataka,10239,963614,940968,12407,11378,965102,941309,12415
Kerala,25698,1096392,1066259,4435,25463,1098291,1068378,4450
Ladakh,44,9865,9691,130,51,9876,9695,130
Lakshadweep,179,639,459,1,173,644,470,1
Madhya Pradesh,5616,271040,261531,3893,6032,271957,262031,3894
Maharashtra,154036,2370507,2163391,53080,167637,2396340,2175565,53138
Manipur,28,29323,28922,373,28,29325,28924,373
Meghalaya,30,14002,13824,148,32,14005,13825,148
Mizoram,17,4445,4417,11,13,4445,4421,11
Nagaland,7,12225,12127,91,7,12225,12127,91
Odisha,630,338405,335857,1918,648,338489,335923,1918
Puducherry,214,40120,39233,673,6,40201,39521,674
Punjab,13320,203049,183557,6172,14366,205418,184848,6204
Rajasthan,2851,323774,318132,2791,3023,324101,318284,2794
Sikkim,46,6194,6013,135,48,6196,6013,135
Tamil Nadu,5811,862374,843999,12564,6222,863363,844568,12573
Telengana,2265,302047,298120,1662,2434,302360,298262,1664
Tripura,12,33444,33041,391,21,33454,33042,391
Uttarakhand,672,98041,95665,1704,698,98129,95727,1704
Uttar Pradesh,2014,605915,595150,8751,2217,606229,595259,8753
West Bengal,3188,579156,565670,10298,3241,579479,565938,10300
,252364,11474605,11063025,159216,271282,11514331,11083679,159370
