Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,326,…
Aizkraukles novads,294,…
Aizputes novads,312,…
Aknīstes novads,410,…
Alojas novads,92,…
Alsungas novads,13,…
Alūksnes novads,733,…
Amatas novads,246,…
Apes novads,183,…
Auces novads,162,…
Ādažu novads,924,…
Babītes novads,528,…
Baldones novads,252,…
Baltinavas novads,25,…
Balvu novads,768,…
Bauskas novads,858,…
Beverīnas novads,95,…
Brocēnu novads,192,…
Burtnieku novads,144,…
Carnikavas novads,337,…
Cesvaines novads,47,…
Cēsu novads,485,…
Ciblas novads,89,…
Dagdas novads,292,…
Daugavpils,7659,…
Daugavpils novads,1257,…
Dobeles novads,830,…
Dundagas novads,131,…
Durbes novads,41,…
Engures novads,499,…
Ērgļu novads,40,…
Garkalnes novads,485,…
Grobiņas novads,269,…
Gulbenes novads,1106,…
Iecavas novads,459,…
Ikšķiles novads,347,…
Ilūkstes novads,358,…
Inčukalna novads,290,…
Jaunjelgavas novads,121,…
Jaunpiebalgas novads,24,…
Jaunpils novads,69,…
Jelgava,3058,…
Jelgavas novads,1049,…
Jēkabpils,1571,…
Jēkabpils novads,234,…
Jūrmala,2280,…
Kandavas novads,136,…
Kārsavas novads,228,…
Kocēnu novads,167,…
Kokneses novads,196,…
Krāslavas novads,991,…
Krimuldas novads,116,…
Krustpils novads,418,…
Kuldīgas novads,530,…
Ķeguma novads,172,…
Ķekavas novads,1256,…
Lielvārdes novads,297,…
Liepāja,2077,…
Limbažu novads,572,…
Līgatnes novads,93,…
Līvānu novads,715,…
Lubānas novads,121,…
Ludzas novads,550,…
Madonas novads,740,…
Mazsalacas novads,82,…
Mālpils novads,67,…
Mārupes novads,1032,…
Mērsraga novads,19,…
Naukšēnu novads,18,…
Neretas novads,150,…
Nīcas novads,78,…
Ogres novads,1251,…
Olaines novads,1151,…
Ozolnieku novads,415,…
Pārgaujas novads,63,…
Pāvilostas novads,31,…
Pļaviņu novads,120,…
Preiļu novads,664,…
Priekules novads,135,…
Priekuļu novads,247,…
Raunas novads,104,…
Rēzekne,2215,…
Rēzeknes novads,968,…
Riebiņu novads,222,…
Rīga,32701,…
Rojas novads,117,…
Ropažu novads,455,…
Rucavas novads,38,…
Rugāju novads,107,…
Rundāles novads,74,…
Rūjienas novads,122,…
Salacgrīvas novads,328,…
Salas novads,150,…
Salaspils novads,1104,…
Saldus novads,683,…
Saulkrastu novads,210,…
Sējas novads,62,…
Siguldas novads,516,…
Skrīveru novads,135,…
Skrundas novads,44,…
Smiltenes novads,420,…
Stopiņu novads,599,…
Strenču novads,175,…
Talsu novads,1199,…
Tērvetes novads,66,…
Tukuma novads,925,…
Vaiņodes novads,97,…
Valkas novads,345,…
Valmiera,865,…
Varakļānu novads,271,…
Vārkavas novads,77,…
Vecpiebalgas novads,171,…
Vecumnieku novads,241,…
Ventspils,1112,…
Ventspils novads,268,…
Viesītes novads,127,…
Viļakas novads,277,…
Viļānu novads,323,…
Zilupes novads,59,…
