Region,Local_name,Sick,Healed,Deaths,Sick_increase,Healed_increase,Deaths_increase
Moscow,Москва,1008224,928156,16024,1809,1902,51
Saint Petersburg,Санкт-Петербург,385200,336191,11844,921,2027,38
Moscow Oblast,Московская область,225238,184628,5210,605,570,25
Nizhegorodskaya Oblast,Нижегородская область,103630,97015,2706,348,440,13
Sverdlov Oblast,Свердловская область,80800,73992,2599,152,164,15
Rostov Oblast,Ростовская область,77948,69457,3369,242,270,12
Voronezh Oblast,Воронежская область,72665,67091,2239,206,241,23
Krasnoyarskiy Kray,Красноярский край,65273,60423,3029,129,121,12
Irkutsk Oblast,Иркутская область,59478,56768,1922,181,132,8
Arkhangelsk Oblast,Архангельская область,58697,53979,777,90,113,6
Cheliabinsk Oblast,Челябинская область ,53761,48046,1141,138,235,9
Samara Oblast,Самарская область,53320,49832,1016,214,247,9
Hanty-Mansiyskiy AO,Ханты-Мансийский АО,53240,51652,776,81,121,0
Saratov Oblast,Саратовская область,52875,47660,746,171,178,4
Volgograd Oblast,Волгоградская область,52156,49900,891,127,123,6
Habarovskiy Kray,Хабаровский край,49984,47502,325,60,66,3
Perm Oblast,Пермский край,49775,43633,1869,132,245,11
Ulianovsk Oblast,Ульяновская область,49618,46214,922,99,104,8
Stavropolskiy Kray,Ставропольский край,49234,45993,1180,122,143,5
Murmansk Oblast,Мурманская область,48174,46645,1039,75,31,5
Altayskiy Kray,Алтайский край,45855,40981,1694,112,112,9
Republic of Karelia,Республика Карелия,42800,39429,355,105,171,2
Omsk Oblast,Омская область,42673,39385,1284,104,84,4
Primorskiy Kray,Приморский край,41696,37208,661,59,147,2
Vologda Oblast,Вологодская область,41554,38719,867,101,72,3
Krasnodarskiy Kray,Краснодарский край,40971,35849,2183,124,175,12
Komi Republic,Республика Коми,40815,39670,781,70,64,2
Pensa Oblast,Пензенская область,40755,37035,489,111,124,4
Zabaykalskiy Kray,Забайкальский край,40321,38818,578,71,111,2
Orenburg Oblast,Оренбургская область,39038,35971,691,76,58,6
Kirov Oblast,Кировская область,38623,34617,315,103,148,2
Leningradskaya Oblast,Ленинградская область,38532,36051,831,124,121,14
Yamalo-Nenetskiy AO,Ямало-Ненецкий автономный округ,37702,36150,404,25,32,0
Novosibirsk Oblast,Новосибирская область,37678,34662,1558,97,127,5
Republic of Crimea,Республика Крым,36895,33837,1019,54,24,3
Tver Oblast,Тверская область,36135,33933,703,110,123,6
Republic of Buriatia,Республика Бурятия,35291,33449,752,72,101,2
