Region,LocalName,Confirmed,Deaths,Recovered,Existing,Suspected
Vinnytsia,Вінницька область,49762,837,31477,17448,52720
Volynska,Волинська область,43606,702,39193,3711,46654
Dnipropetrovska,Дніпропетровська область,81590,2180,71830,7580,86196
Donetska,Донецька область,52606,1161,45887,5558,54147
Zhytomyrskа,Житомирська область,63116,1021,47913,14182,65233
Zakarpatska,Закарпатська область,49479,1161,36046,12272,52638
Zaporizka,Запорізька область,73501,1288,67537,4676,75540
Ivano-Frankivska,Івано-Франківська область,75199,1511,55756,17932,81108
Kyivska,Київська область,85601,1425,73978,10198,91430
Kirovohradska,Кіровоградська область,11798,427,8611,2760,16348
Luhanska,Луганська область,16067,499,14543,1025,17454
Lvivska,Львівська область,91240,2449,74320,14471,95707
Mykolaivska,Миколаївська область,47513,906,39919,6688,49237
Kyiv,м. Київ,151133,3015,100804,47314,171158
Odeska,Одеська область,95807,1595,81551,12661,99606
Poltavska,Полтавська область,50103,1066,43931,5106,72909
Rivnenska,Рівненська область,52940,676,49098,3166,70045
Sumska,Сумська область,52863,749,47941,4173,58497
Ternopilska,Тернопільська область,48762,678,41912,6172,76062
Kharkivska,Харківська область,93327,1776,80472,11079,96259
Khersonska,Херсонська область,22688,671,20830,1187,23496
Khmelnytska,Хмельницька область,55471,1003,47786,6682,59625
Cherkaska,Черкаська область,52510,691,47319,4500,55876
Chernivetska,Чернівецька область,64598,1219,47782,15597,67154
Chernihivska,Чернігівська область,38646,809,32346,5491,40519
